# SPDX-License-Identifier: AGPL-3.0-or-later
# id	archive	url	sha256	license-expression
go-1.26.3	go1.26.3.src.tar.gz	https://go.dev/dl/go1.26.3.src.tar.gz	1c646875d0aa8799133184ed57cf79ff24bdefe8c8820470602a9d3d6d9192b8	BSD-3-Clause AND LicenseRef-Go-Bundled-Third-Party
go-1.26.5	go1.26.5.src.tar.gz	https://go.dev/dl/go1.26.5.src.tar.gz	495be4bc87176ac567392e5b4116abd98466d33d7b49d41e764ccc6976b2dc42	BSD-3-Clause AND LicenseRef-Go-Bundled-Third-Party
module-github.com_NVIDIA_go-nvlib@v0.9.1-0.20251202135446-d0f42ba016dd	github.com_NVIDIA_go-nvlib@v0.9.1-0.20251202135446-d0f42ba016dd.zip	https://proxy.golang.org/github.com/!n!v!i!d!i!a/go-nvlib/@v/v0.9.1-0.20251202135446-d0f42ba016dd.zip	7fc3d1ac180f4f4e95a0074a5a5b844367620b037b05738d4f3618bb10277e65	Apache-2.0
module-github.com_NVIDIA_go-nvml@v0.13.0-1.0.20260212130905-92cf8c963449	github.com_NVIDIA_go-nvml@v0.13.0-1.0.20260212130905-92cf8c963449.zip	https://proxy.golang.org/github.com/!n!v!i!d!i!a/go-nvml/@v/v0.13.0-1.0.20260212130905-92cf8c963449.zip	d005aadd27497cab64c04a18a603f88b7b8c002bd2d5b80bde4b6a7a393295a0	Apache-2.0
module-github.com_cyphar_filepath-securejoin@v0.6.1	github.com_cyphar_filepath-securejoin@v0.6.1.zip	https://proxy.golang.org/github.com/cyphar/filepath-securejoin/@v/v0.6.1.zip	bb04848c968a45eb74ca7e9236d10579c4612b40cf5cd78203ee3f604b05f9e9	BSD-3-Clause AND MPL-2.0
module-github.com_fsnotify_fsnotify@v1.7.0	github.com_fsnotify_fsnotify@v1.7.0.zip	https://proxy.golang.org/github.com/fsnotify/fsnotify/@v/v1.7.0.zip	f98f08a95224f2c7a77b62aa4840cefe4970f0ff00e0a027d7e457c3df752bb2	BSD-3-Clause
module-github.com_google_uuid@v1.6.0	github.com_google_uuid@v1.6.0.zip	https://proxy.golang.org/github.com/google/uuid/@v/v1.6.0.zip	d0f02f377217f42702e259684e06441edbf5140dddcc34ba9bea56038b38a6ed	BSD-3-Clause
module-github.com_moby_sys_capability@v0.4.0	github.com_moby_sys_capability@v0.4.0.zip	https://proxy.golang.org/github.com/moby/sys/capability/@v/v0.4.0.zip	3502bba106a402fd440d1d4e8eb5ca741da4d70a674e8313725838ec8e22b44c	BSD-3-Clause
module-github.com_moby_sys_mountinfo@v0.7.2	github.com_moby_sys_mountinfo@v0.7.2.zip	https://proxy.golang.org/github.com/moby/sys/mountinfo/@v/v0.7.2.zip	94f79687bc3b72ca4cc60fafda851454fefc0ef04bdb4499e8c7c2b2e231b5d3	Apache-2.0
module-github.com_moby_sys_reexec@v0.1.0	github.com_moby_sys_reexec@v0.1.0.zip	https://proxy.golang.org/github.com/moby/sys/reexec/@v/v0.1.0.zip	3d9e1e4628e61f0e86aab5a0f4f947396686e12102721590bd0966f3600bae22	Apache-2.0
